longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.49,34.03,31,4949,1293,1985,1244,4.252,436700,<1H OCEAN
-118.49,34.07,36,2929,366,1054,352,13.5728,500001,<1H OCEAN
-117.1,32.68,47,771,224,637,212,2.0156,90300,NEAR OCEAN
-122.06,37.65,33,1227,286,848,291,3.8036,158200,NEAR BAY
-116.98,33.26,12,5898,1002,3129,945,4.7647,254100,<1H OCEAN
-121.93,37.32,50,1135,215,500,207,4.2614,211300,<1H OCEAN
-117.08,33.23,14,3337,571,1385,512,4.15,272200,<1H OCEAN
-121.62,36.74,30,1337,253,838,247,5.0374,165400,<1H OCEAN
-122.27,37.83,48,1798,432,987,374,1.0972,104500,NEAR BAY
-122.06,37.3,11,5488,706,1947,641,10.7326,500001,<1H OCEAN
-117.05,33.13,22,2427,390,1099,362,5.2323,167500,<1H OCEAN
-121.84,37.39,31,5524,914,2848,879,5.5592,229900,<1H OCEAN
-122.44,37.66,36,1447,276,799,275,4.7639,265600,NEAR OCEAN
-117.99,33.71,17,1600,458,1803,432,2.7865,216700,<1H OCEAN
-118.18,34.06,27,2025,565,2189,577,2.6083,148600,<1H OCEAN
-118.3,34.17,30,48,14,74,16,5.0056,162500,<1H OCEAN
-122.2,37.78,50,1867,403,1128,378,2.5401,129100,NEAR BAY
-117.79,33.56,36,2057,329,658,309,7.866,500001,<1H OCEAN
-122.15,38.29,17,1625,239,703,224,6.5891,328800,NEAR BAY
-117.93,33.65,29,1253,375,1198,362,3.5179,225000,<1H OCEAN
-119.68,36.32,26,592,121,268,116,1.7596,120800,INLAND
-122.66,38.48,16,2697,490,1462,515,4.2051,190300,<1H OCEAN
-121.7,37.91,17,1962,291,825,267,4.8958,187100,INLAND
-118.53,34.21,18,3124,796,1855,725,2.9389,213200,<1H OCEAN
-118.08,34.55,5,16181,2971,8152,2651,4.5237,141800,INLAND
-122.43,37.74,52,3328,653,1260,614,4.7437,331000,NEAR BAY
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND
-117.87,35.73,13,2566,449,1181,414,4.1518,91800,INLAND
-120.81,38.73,38,2005,385,882,353,2.5104,120500,INLAND
-117.03,32.71,33,3126,627,2300,623,3.2596,103000,NEAR OCEAN
-122.01,37.37,25,2213,360,1066,390,7.2165,360900,<1H OCEAN
-122.09,37.41,14,753,193,421,153,4.2463,266700,NEAR BAY
-119.68,36.81,13,2589,413,1356,435,5.0253,106200,INLAND
-118.05,34.06,25,1022,291,1570,297,3.023,142000,<1H OCEAN
-118.07,33.89,32,1819,386,1679,360,3.5562,146000,<1H OCEAN
-122.78,38.37,21,795,163,414,162,3.7991,175000,<1H OCEAN
-122.21,37.43,23,5741,1012,1843,888,5.7211,500001,NEAR OCEAN
-117.68,33.49,18,4173,625,1649,634,6.3568,294300,<1H OCEAN
-120.84,37.43,32,2892,521,1580,484,3.7784,164500,INLAND
-117.64,34.07,38,2450,544,1823,536,2.837,111200,INLAND
-121.32,38.67,21,3455,706,1605,704,3.1382,91600,INLAND
-120.91,38.73,11,5460,859,2645,838,4.835,230600,INLAND
-117.96,33.98,25,1259,184,599,170,5.7407,302200,<1H OCEAN
-122.41,37.62,39,3119,758,1807,696,3.2216,242700,NEAR OCEAN
-116.97,32.74,14,7410,1344,3597,1274,4.2192,176100,<1H OCEAN
-118.36,34.1,37,7097,2010,2913,1939,2.875,300000,<1H OCEAN
-122.43,37.8,52,2520,649,959,607,5.7934,500001,NEAR BAY
-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY
-121.88,37.27,24,4567,688,2102,695,5.6895,289000,<1H OCEAN
-120.8,37.52,13,2920,481,1602,490,3.9286,145800,INLAND
-122.22,38.08,37,4590,857,2920,832,3.436,94800,NEAR BAY
-121.98,36.98,29,2681,632,1652,620,3.075,215800,NEAR OCEAN
-117.9,33.77,35,2002,378,1726,387,3.9613,182300,<1H OCEAN
-117.81,33.67,9,1567,299,675,294,5.2124,199600,<1H OCEAN
-122.87,38.62,52,1514,348,767,354,2.1903,160000,<1H OCEAN
-118.17,33.82,50,3587,693,1513,651,5.5106,252200,NEAR OCEAN
-117.54,34.47,4,6712,1200,3126,1026,3.2277,126500,INLAND
-122.07,37.33,13,2173,349,891,345,8.0158,420000,<1H OCEAN
-121.22,39.43,17,2254,485,1007,433,1.7,92300,INLAND
-117.15,32.91,15,1613,303,702,240,4.875,169300,<1H OCEAN
-119.4,36.53,28,2201,429,1524,412,2.75,65000,INLAND
-117.95,34.14,33,1943,440,1526,353,3.038,137500,INLAND
-122.42,37.73,35,1871,342,1055,310,4.625,279300,NEAR BAY
-118.37,33.97,26,6672,1729,3333,1557,2.9646,179800,<1H OCEAN
-122.18,37.68,5,2087,407,840,401,5.4858,187800,NEAR BAY
-120.02,37.72,17,2806,600,990,410,2.3818,88100,INLAND
-121.44,37.74,25,456,116,370,106,3.1319,112500,INLAND
-119.38,36.53,38,1281,537.8705525375618,1423,293,1.9602,51400,INLAND
-117.85,33.87,15,5078,806,2569,759,5.6549,301900,<1H OCEAN
-118.01,33.97,36,1451,224,608,246,6.0648,290800,<1H OCEAN
-118.13,33.79,29,2937,524,1132,528,4.6133,500001,NEAR OCEAN
-117.05,32.81,17,1885,292,771,301,5.6402,228600,<1H OCEAN
-122.04,38.25,37,1176,291,648,271,2.7167,92200,INLAND
-121.67,37.13,19,3269,483,1383,452,5.6205,300800,<1H OCEAN
-118.07,33.87,28,2399,436,1613,429,3.6339,220100,<1H OCEAN
-118.15,33.93,25,1948,433,1128,429,3.7614,255900,<1H OCEAN
-121.33,38.66,15,4371,908,1842,818,2.7797,105500,INLAND
-121.98,37.29,33,2120,349,907,336,7.5443,283000,<1H OCEAN
-118.61,34.31,4,1949,458,868,398,5.0151,285200,<1H OCEAN
-121.88,37.34,52,1390,365,921,352,2.1442,188900,<1H OCEAN
-120.95,39.93,26,2023,385,922,365,2.8125,83500,INLAND
-121.27,38.62,13,2321,539,1066,497,2.7652,95600,INLAND
-117.11,33.15,14,8374,1407,2916,1295,4.7019,191100,<1H OCEAN
-122.01,37.94,18,2077,298,937,292,6.3809,273600,NEAR BAY
-117.04,32.66,22,3362,630,1471,612,4.1442,303900,NEAR OCEAN
-115.8,33.26,2,96,18,30,16,5.3374,47500,INLAND
-117.12,33.52,4,30401,4957,13251,4339,4.5841,212300,<1H OCEAN
-121.98,38.36,24,2434,630,1538,574,2.1067,101100,INLAND
-118.26,34.06,38,715,282,1174,300,2.345,225000,<1H OCEAN
-117.76,33.53,28,3085,499,1176,480,7.9794,426100,<1H OCEAN
-117.86,33.78,25,2635,660,1710,634,3.125,215000,<1H OCEAN
-117.95,34.07,37,1987,399,1279,378,4.1172,176500,<1H OCEAN
-122.54,37.93,43,2998,470,970,430,5.5385,431800,NEAR BAY
-116.88,33.05,11,7217,1583,4197,1502,2.8827,166700,<1H OCEAN
-118.36,33.89,37,1719,426,1266,424,3.375,228000,<1H OCEAN
-117.95,33.87,35,1854,383,1115,381,4.4784,185200,<1H OCEAN
-117.08,33.82,6,1771,293,935,279,4.065,148200,INLAND
-117.19,32.81,33,5226,833,2221,839,5.1491,207000,NEAR OCEAN
-121.94,36.58,23,4911,693,1480,606,6.777,500000,NEAR OCEAN
-120.55,38.07,27,1199,224,463,199,2.9063,92200,INLAND
-118.07,34.1,32,4275,537.8705525375618,2812,1012,3.3512,214100,<1H OCEAN
-119.63,36.64,33,1036,181,620,174,3.4107,110400,INLAND
-121.36,38.67,5,5819,1507,3237,1356,2.2339,116600,INLAND
-118.38,34.02,31,1893,450,819,426,4.3077,140600,<1H OCEAN
-122.02,37.56,35,1716,312,914,316,5.5737,214500,NEAR BAY
-122.09,37.66,39,1160,259,725,274,2.2222,158300,NEAR BAY
-118.43,34.25,32,2433,553,2318,532,3.6384,159300,<1H OCEAN
-118.78,34.25,13,1841,237,833,231,7.7785,404700,<1H OCEAN
-119.68,37.19,10,3113,589,1508,512,2.8167,96100,INLAND
-119.17,34.17,34,2749,539,2330,559,4.2137,185600,NEAR OCEAN
-121.8,37.35,27,2358,415,1562,383,5.2297,192800,<1H OCEAN
-117.15,32.8,23,2395,476,2284,488,3.7292,146300,NEAR OCEAN
-117.96,34.07,35,2819,529,1508,485,4.6118,191700,<1H OCEAN
-118.07,33.99,39,552,151,807,168,3.25,153300,<1H OCEAN
-117.04,34,25,3750,781,1594,785,2.4167,104900,INLAND
-117.21,34.11,27,1245,229,692,234,3.2176,89400,INLAND
-117.24,34.13,26,3774,716,1913,620,3.3534,98900,INLAND
-120.42,34.95,52,1391,287,632,276,1.7431,131500,<1H OCEAN
-117.36,33.17,24,2046,442,812,367,2.3182,500001,NEAR OCEAN
-118.51,34.03,37,4072,905,1468,923,3.8571,500001,<1H OCEAN
-117.2,32.82,35,2772,537,1392,521,3.337,172300,NEAR OCEAN
-117.91,33.82,32,2696,640,2330,626,2.9479,184600,<1H OCEAN
-118.29,34.04,31,700,299,1272,298,2.1542,128100,<1H OCEAN
-121.64,39.15,15,2659,396,1159,407,5.234,124900,INLAND
-119.33,35.59,20,3085,691,2645,676,1.7868,54100,INLAND
-122.08,37.71,38,1663,295,781,301,5.0519,227000,NEAR BAY
-122.31,37.55,45,507,140,305,139,2.6159,272900,NEAR OCEAN
-119.86,36.78,7,2232,490,1274,499,2.9853,74700,INLAND
-118.36,34.09,28,1111,300,526,294,2.6136,383300,<1H OCEAN
-118.45,34.16,22,4982,1358,2237,1220,3.7105,272600,<1H OCEAN
-118.14,33.97,29,1846,530,2576,528,2.63,156000,<1H OCEAN
-117.99,33.79,21,2695,707,1888,683,3.2857,213300,<1H OCEAN
-118.15,33.98,17,3361,925,3264,914,2.2813,145600,<1H OCEAN
-117.22,34.26,16,8020,1432,1749,540,4.9716,162500,INLAND
-118.39,33.89,40,826,143,389,147,7.1845,438100,<1H OCEAN
-122.25,37.82,52,1424,289,550,253,5.0917,262500,NEAR BAY
-118.21,33.93,39,354,73,184,58,2.7679,108900,<1H OCEAN
-117.27,33.03,25,1787,311,1108,311,3.9826,215800,NEAR OCEAN
-122.09,37.71,35,2663,387,1086,367,5.1498,266400,NEAR BAY
-122.17,37.74,41,1613,445,1481,414,2.4028,97700,NEAR BAY
-118.05,33.72,14,2673,687,1192,656,4.1862,188900,<1H OCEAN
-118.28,34.1,49,1767,467,1066,438,3.0958,210900,<1H OCEAN
-117.86,33.67,16,20,5,15,5,3.875,450000,<1H OCEAN
-115.37,32.82,14,1276,270,867,261,1.9375,80900,INLAND
-118.4,34.05,34,2113,459,859,432,3.6953,500001,<1H OCEAN
-116.99,34.88,23,6060,1165,2920,1072,3.1528,69000,INLAND
-121.02,37.62,14,5737,1286,4722,1210,1.6731,95800,INLAND
-117.37,34,41,1248,278,770,250,3.025,90600,INLAND
-117.94,33.86,36,2824,493,1394,507,4.6477,194700,<1H OCEAN
-122.09,37.68,41,1834,463,1105,467,2.8322,170300,NEAR BAY
-117.94,33.65,20,5476,1073,2327,963,5.6637,222100,<1H OCEAN
-121.3,38.05,52,122,26,62,25,1.15,112500,INLAND
-119,35.39,42,2839,516,1203,487,3.7708,79400,INLAND
-118.22,34.06,34,1083,364,1132,338,2.2344,153100,<1H OCEAN
-120.64,37.2,16,2236,438,1361,393,2.0066,125000,INLAND
-118.02,34.08,31,2402,632,2830,603,2.3333,164200,INLAND
-118.08,33.93,33,2263,511,1626,457,3.5556,172800,<1H OCEAN
-121.97,37.3,31,3340,735,1891,686,4.8542,275000,<1H OCEAN
-117.08,33.12,33,674,208,565,188,1.875,114300,<1H OCEAN
-121.9,37.44,12,4228,734,2594,732,6.6086,299400,<1H OCEAN
-121.9,38,14,2677,368,1288,375,6.0497,177500,INLAND
-121.48,38.58,42,1823,566,761,503,1.245,137500,INLAND
-117.38,34.11,36,1497,264,894,275,3.3066,96300,INLAND
-122.53,37.5,19,4768,807,2199,805,6.1896,331100,NEAR OCEAN
-121.83,37.27,8,4454,1058,2595,1027,4.5615,282600,<1H OCEAN
-119.53,36.61,33,587,170,730,162,1.5625,55800,INLAND
-122.11,37.69,37,2444,651,1562,618,2.6464,155200,NEAR BAY
-119.72,36.34,33,1287,214,580,210,3.2019,112500,INLAND
-122.58,38.08,27,10839,1637,4406,1623,5.615,285600,NEAR BAY
-117.07,33.13,33,555,165,612,176,2.1786,137500,<1H OCEAN
-121.63,39.15,27,2991,637,1419,606,1.8849,73500,INLAND
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,NEAR BAY
-117.88,34.12,35,1574,276,1088,289,4.0938,165300,<1H OCEAN
-117.5,34.04,4,3428,649,2158,632,5.0175,143400,INLAND
-118.54,34.17,11,1080,174,386,160,6.1274,315900,<1H OCEAN
-117.99,33.88,42,1461,302,986,314,3.9559,161100,<1H OCEAN
-118.13,34.02,40,2988,690,2144,667,2.3359,189300,<1H OCEAN
-118.11,33.86,35,1255,252,685,279,4.2,226900,<1H OCEAN
-117.91,33.78,26,4297,1037,3596,967,3.045,184000,<1H OCEAN
-117.97,34.06,31,2516,537.8705525375618,2194,497,3.2413,155500,<1H OCEAN
-117.1,32.58,33,393,76,330,80,4.1029,122700,NEAR OCEAN
-118.95,34.18,25,2237,331,1121,365,6.0994,254900,<1H OCEAN
-118.38,33.88,36,2501,443,1031,422,4.75,442100,<1H OCEAN
-118.04,33.98,43,2446,764,1699,692,2.625,163300,<1H OCEAN
-118.46,34.31,24,2920,601,1460,598,4.2708,218200,<1H OCEAN
-118.58,34.19,35,2329,399,966,336,3.8839,224900,<1H OCEAN
-122.82,38.39,22,1288,243,593,220,3.625,233700,<1H OCEAN
-122,37.34,31,3344,620,1604,572,5.2108,351500,<1H OCEAN
-121.92,36.55,37,2190,419,490,300,3.7852,465800,NEAR OCEAN
-122.22,37.8,52,2721,541,1185,515,4.5428,239800,NEAR BAY
-117.35,33.99,45,131,28,89,31,2.6071,112500,INLAND
-118.22,34.52,7,4524,735,2298,717,6.5538,311600,INLAND
-121.95,37.24,37,3109,541,1566,544,6.0235,413500,<1H OCEAN
-122.03,37.69,20,200,25,83,31,6.5,340000,NEAR BAY
-118.27,34,40,2099,599,2311,529,1.852,101500,<1H OCEAN
-121.29,38.13,20,3168,514,1390,490,5,154800,INLAND
-121.81,37.35,29,2396,452,2000,481,4.375,185500,<1H OCEAN
-117.97,33.79,33,3268,641,1704,591,3.6849,211400,<1H OCEAN
-117.93,33.62,37,2204,428,807,410,7.0516,500001,<1H OCEAN
-122.02,37.87,14,3056,369,1209,377,8.4352,441400,NEAR BAY
-122.84,38.07,31,1858,367,701,297,3.8269,270700,NEAR OCEAN
-117.35,34.04,14,2991,522,1729,537,3.5139,146800,INLAND
-118.1,33.79,36,3359,596,1522,565,5.1805,249400,<1H OCEAN
-118.28,33.99,49,2174,481,1861,484,1.7159,95000,<1H OCEAN
-117.91,33.84,25,1021,252,975,258,3.125,168100,<1H OCEAN
-118.32,33.8,39,1415,298,729,278,3.1648,244800,<1H OCEAN
-118.48,34.28,35,1511,274,873,254,5.5608,226700,<1H OCEAN
-122.47,37.81,45,6927,1258,4715,1165,3.4051,500001,NEAR BAY
-118.98,34.16,16,2476,402,1251,387,5.7676,241300,<1H OCEAN
-118.48,34.04,49,3780,741,1435,690,4.3158,500001,<1H OCEAN
-118.24,33.94,37,869,241,1040,233,2,84200,<1H OCEAN
-118.14,34.02,44,1715,460,1740,423,2.7019,153300,<1H OCEAN
-122.53,37.96,35,908,194,413,197,3.9917,290800,NEAR BAY
-120.8,37.61,30,918,154,469,139,3.9688,175000,INLAND
-121.4,38.61,33,3512,825,1515,782,1.9908,118800,INLAND
-118.4,34.06,52,2501,362,748,349,6.6343,500001,<1H OCEAN
-121.13,37.74,28,409,104,244,98,3.4643,90900,INLAND
-116.79,32.61,19,2652,520,1421,491,3.5227,206100,<1H OCEAN
-118.27,34.01,35,1672,556,2106,519,1.2206,129200,<1H OCEAN
-118.3,33.99,45,1701,452,1484,427,1.84,91400,<1H OCEAN
-117.53,33.92,12,2290,319,728,228,6.1561,233500,INLAND
-122.07,37.31,24,4401,698,1818,685,7.2986,500001,<1H OCEAN
-120.45,34.66,7,3329,504,1462,452,4.7875,198300,NEAR OCEAN
-122.04,37.96,27,2587,729,1500,623,1.837,175000,NEAR BAY
-118.34,33.89,36,2392,444,1346,445,6.0088,245900,<1H OCEAN
-117.07,32.8,36,2028,349,820,352,3.9828,168900,<1H OCEAN
-121.93,36.62,39,869,173,406,165,4.0313,253800,NEAR OCEAN
-121.99,37.56,18,5505,1005,2641,971,5,269700,<1H OCEAN
-118.26,33.91,39,935,210,711,193,2.4375,101900,<1H OCEAN
-117.09,32.73,28,3109,594,1559,589,3.5789,120300,NEAR OCEAN
-118.27,33.98,39,2062,588,1933,570,1.3801,97000,<1H OCEAN
-118.29,33.85,10,1391,420,1378,377,1.9049,222200,<1H OCEAN
-121.99,37.31,26,3285,502,1443,530,5.7833,339600,<1H OCEAN
-121.31,38.62,31,3114,430,1121,456,6.244,240000,INLAND
-120.6,37.35,19,3874,676,2441,707,3.2955,88600,INLAND
-119.5,34.35,39,308,38,59,21,11.7794,500001,NEAR OCEAN
-122.53,37.87,20,1814,282,658,253,7.9977,400000,NEAR BAY
-117.3,34.15,33,1607,282,608,260,4.3438,115000,INLAND
-122.05,38.25,37,1336,251,680,231,3.815,99000,INLAND
-118.02,34.15,44,2419,437,1045,432,3.875,280800,INLAND
-118.42,34.02,28,3167,737,1248,665,3.1941,394700,<1H OCEAN
-120.58,39.27,15,4126,903,723,266,3.0147,118800,INLAND
-122.25,37.79,45,1786,526,1475,460,1.7772,97500,NEAR BAY
-117.9,33.87,28,2315,538,1360,504,2.9861,218600,<1H OCEAN
-117.13,32.97,10,3486,469,1700,483,6.4696,249500,<1H OCEAN
-117.94,33.82,27,1366,326,878,325,3.4,196900,<1H OCEAN
-121.81,37.28,17,2277,428,1887,422,5.7078,217000,<1H OCEAN
-117.16,32.74,43,1437,406,692,379,3.1979,466700,NEAR OCEAN
-118.56,34.21,13,8327,1849,4126,1773,3.7313,189800,<1H OCEAN
-119.84,34.44,28,977,162,537,159,4.2404,274300,NEAR OCEAN
-117.88,33.72,36,1910,352,1593,329,3.89,170000,<1H OCEAN
-121.92,37.36,42,198,32,158,32,3.1563,137500,<1H OCEAN
-117.95,33.92,13,2312,592,2038,559,3.1378,137000,<1H OCEAN
-122.7,38.46,29,2891,459,1012,441,5.0415,240200,<1H OCEAN
-118.33,33.92,23,969,288,670,251,3.267,185400,<1H OCEAN
-117.11,33.19,15,3154,488,1656,429,5.0461,222400,<1H OCEAN
-120.93,37.67,6,3491,657,2075,644,3.3844,138500,INLAND
-118.37,34.09,31,6348,1827,2559,1755,3.2818,225000,<1H OCEAN
-118.18,33.88,42,2326,503,1832,501,3.1713,161000,<1H OCEAN
-118.39,33.99,32,2612,418,1030,402,6.603,369200,<1H OCEAN
-118.41,34.25,19,280,84,483,87,1.95,137500,<1H OCEAN
-120.32,37.29,9,695,188,810,190,1.6172,56300,INLAND
-122.45,37.7,46,2193,499,1814,489,4.0125,230100,NEAR OCEAN
-117.03,32.77,19,4819,1492,2572,1336,2.3393,118200,<1H OCEAN
-118.47,34.1,32,8041,1141,2768,1106,11.1978,500001,<1H OCEAN
-122.65,38.46,14,2096,420,926,397,4.0647,187800,<1H OCEAN
-122.44,37.79,52,1979,359,648,370,5.3124,500001,NEAR BAY
-118.17,33.78,29,2920,962,3580,772,1.7393,140200,NEAR OCEAN
-117.95,34.05,31,2349,539,2028,521,3.494,154500,<1H OCEAN
-117.92,33.83,6,3136,990,1894,859,2.5564,171300,<1H OCEAN
-118.21,33.81,40,1815,428,1807,413,3.0882,160700,NEAR OCEAN
-117.19,33.41,16,3031,554,1301,518,4.0882,296100,<1H OCEAN
-118.29,33.84,11,2274,617,1897,622,3.5094,162900,<1H OCEAN
-122.47,37.78,52,2169,522,1220,505,3.1989,446900,NEAR BAY
-122.01,37.38,32,726,204,538,203,4.505,230400,<1H OCEAN
-122.46,37.68,23,2812,769,1983,681,2.9413,229400,NEAR OCEAN
-122.26,37.86,52,2888,604,1253,538,3.3893,241700,NEAR BAY
-117.02,32.71,30,3187,592,2082,631,3.5388,118500,NEAR OCEAN
-117.96,33.83,30,2838,649,1758,593,3.3831,197400,<1H OCEAN
-121.29,38.36,17,2193,386,1148,372,4.5272,191700,INLAND
-117.08,32.75,16,1111,328,930,303,1.2347,128100,NEAR OCEAN
-121.32,38.01,36,391,74,171,79,2.7045,102800,INLAND
-117.22,33.19,16,3004,656,1948,606,2.7019,216900,<1H OCEAN
-121.96,37,20,3847,727,1725,737,3.3447,305200,NEAR OCEAN
-117.75,34.05,46,1480,358,1511,348,1.9718,110600,INLAND
-119.78,36.75,49,1175,307,982,278,1.2937,52000,INLAND
-119.78,36.75,43,2070,512,1925,444,1.4635,46600,INLAND
-118.38,33.86,29,2787,475,1182,444,6.7613,352700,<1H OCEAN
-122.4,37.73,48,1489,326,1115,356,2.6364,199300,NEAR BAY
-118.15,34.03,42,1481,411,1206,394,2.6806,189300,<1H OCEAN
-118.16,33.97,23,1516,457,1977,435,2.3068,157800,<1H OCEAN
-118.26,33.94,44,1103,265,760,247,1.6887,99600,<1H OCEAN
-118.13,34.2,46,1271,236,573,210,4.9312,240200,INLAND
-122.65,38.25,23,4030,537.8705525375618,1852,778,3.402,193300,<1H OCEAN
-117.15,32.7,52,458,148,1283,166,1.2863,86300,NEAR OCEAN
-118.23,34.18,45,2332,537.8705525375618,943,339,8.1132,446600,<1H OCEAN
-122.06,37.77,12,14316,2045,5781,2007,7.2634,341600,NEAR BAY
-124.15,40.88,33,2235,506,1165,441,1.725,57500,NEAR OCEAN
-118.28,34.01,50,2601,794,3080,770,1.8656,122900,<1H OCEAN
-122.03,37.35,25,3095,514,1251,507,5.5388,352100,<1H OCEAN
-118.33,34.04,48,2437,443,1400,426,2.628,251100,<1H OCEAN
-122.1,37.4,27,3410,1156,2314,1086,3.4868,165600,NEAR BAY
-120.95,35.44,30,6346,1410,1769,887,2.6864,283600,NEAR OCEAN
-118.16,34.17,52,1193,228,703,221,3.1741,163800,<1H OCEAN
-117.07,33.11,17,5565,1237,3004,1139,3.0054,142300,<1H OCEAN
-118.55,34.38,24,6246,1028,2803,999,6.3002,282900,<1H OCEAN
-117.94,33.76,33,1441,337,1233,331,3.7232,176200,<1H OCEAN
-118.48,34.25,35,1442,276,795,268,4.9688,216900,<1H OCEAN
-121.82,38.01,42,1017,253,798,266,2.1719,99100,INLAND
-119.61,36.94,14,863,151,315,135,4.2679,151800,INLAND
-118.1,33.99,35,1326,272,933,267,3.4306,162500,<1H OCEAN
-118.31,34.09,30,3165,1263,3678,1141,2,240600,<1H OCEAN
-121.93,36.6,33,3455,683,1704,663,4.0154,225700,NEAR OCEAN
-122.45,37.78,52,3975,716,1515,691,5.0156,500001,NEAR BAY
-118.91,34.4,30,2861,613,2065,586,3.2024,176100,<1H OCEAN
-117.86,33.79,31,3523,922,2660,949,3.1792,146400,<1H OCEAN
-119.71,36.77,11,5112,1384,2487,1243,2.1461,75900,INLAND
-118.23,33.93,37,239,49,308,52,1.4028,105400,<1H OCEAN
-121.9,37.45,16,2952,446,1525,460,5.6063,320500,<1H OCEAN
-121.8,37.19,45,1797,303,870,281,4.5417,434500,<1H OCEAN
